node_id,community,RNL
1294703,"1,1,",3
62944,"1,1,",3
288966,"1,1,",3
1198340,"1,1,",3
8583,"1,1,",3
972508,"1,1,",3
507169,"1,1,",3
1025773,"1,1,",3
78392,"1,1,",3
541033,"1,1,",3
606879,"1,1,",3
507148,"1,1,",3
741256,"1,1,",3
799886,"1,1,",3
227469,"1,1,",3
643419,"1,1,",3
31024,"1,1,",3
1136951,"1,1,",3
1011896,"1,1,",3
430263,"1,1,",3
493700,"1,1,",3
115240,"1,1,",3
528732,"1,1,",3
765275,"1,1,",3
30556,"1,1,",3
1234268,"1,1,",3
73786,"1,1,",3
1205196,"1,1,",3
407747,"1,1,",3
772178,"1,1,",3
43342,"1,1,",3
123599,"1,1,",3
119200,"1,1,",3
516768,"1,1,",3
752481,"1,1,",3
217255,"1,1,",3
741891,"1,1,",3
932381,"1,1,",3
266770,"1,1,",3
717167,"1,1,",3
359668,"1,1,",3
1029368,"1,1,",3
641129,"1,1,",3
210265,"1,1,",3
1018691,"1,1,",3
319469,"1,1,",3
104770,"1,1,",3
241046,"1,1,",3
1255498,"1,1,",3
14653,"1,1,",3
355167,"1,1,",3
716875,"1,1,",3
1253293,"1,1,",3
288907,"1,1,",3
1122307,"1,1,",3
1056221,"1,1,",3
1089709,"1,1,",3
649534,"1,1,",3
266025,"1,1,",3
85809,"1,1,",3
644901,"1,1,",3
991310,"1,1,",3
448980,"1,1,",3
746217,"1,1,",3
518532,"1,1,",3
157371,"1,1,",3
311428,"1,1,",3
869114,"1,1,",3
896477,"1,1,",3
1001897,"1,1,",3
446846,"1,1,",3
380774,"1,1,",3
520400,"1,1,",3
596090,"1,1,",3
806553,"1,1,",3
531137,"1,1,",3
116646,"1,1,",3
921288,"1,1,",3
536807,"1,1,",3
499457,"1,1,",3
305932,"1,1,",3
631933,"1,1,",3
24294,"1,1,",3
449931,"1,1,",3
167238,"1,1,",3
1141709,"1,1,",3
592401,"1,1,",3
775585,"1,1,",3
1285877,"1,1,",3
1219422,"1,1,",3
445584,"1,1,",3
338191,"1,1,",3
970557,"1,1,",3
950871,"1,1,",3
209591,"1,1,",3
1244786,"1,1,",3
485233,"1,1,",3
438078,"1,1,",3
739258,"1,1,",3
35556,"1,1,",3
451423,"1,1,",3
561002,"1,1,",3
1180976,"1,1,",3
617957,"1,1,",3
801740,"1,1,",3
1304449,"1,1,",3
600869,"1,1,",3
420073,"1,1,",3
11960,"1,1,",3
147951,"1,1,",3
879515,"1,1,",3
311891,"1,1,",3
451511,"1,1,",3
305562,"1,1,",3
256642,"1,1,",3
1095287,"1,1,",3
1166003,"1,1,",3
1218016,"1,1,",3
620630,"1,1,",3
635163,"1,1,",3
685843,"1,1,",3
34376,"1,1,",3
141645,"1,1,",3
1141104,"1,1,",3
1059852,"1,1,",3
627383,"1,1,",3
1048591,"1,1,",3
98446,"1,1,",3
209181,"1,1,",3
597793,"1,1,",3
964883,"1,1,",3
1220637,"1,1,",3
710899,"1,1,",3
824588,"1,1,",3
25625,"1,1,",3
169554,"1,1,",3
1057392,"1,1,",3
522749,"1,1,",3
632525,"1,1,",3
1310409,"1,1,",3
1231680,"1,1,",3
345418,"1,1,",3
245687,"1,1,",3
1081833,"1,1,",3
661457,"1,1,",3
122593,"1,1,",3
1057579,"1,1,",3
147524,"1,1,",3
753091,"1,1,",3
1237156,"1,1,",3
1061003,"1,1,",3
224006,"1,1,",3
1140381,"1,1,",3
840031,"1,1,",3
42690,"1,1,",3
15319,"1,1,",3
210798,"1,1,",3
1226009,"1,1,",3
545095,"1,1,",3
1062229,"1,1,",3
139319,"1,1,",3
1236430,"1,1,",3
880148,"1,1,",3
374180,"1,1,",3
1199133,"1,1,",3
514269,"1,1,",3
486850,"1,1,",3
725839,"1,1,",3
371124,"1,1,",3
1270909,"1,1,",3
627868,"1,1,",3
833329,"1,1,",3
216356,"1,1,",3
271939,"1,1,",3
343948,"1,1,",3
984901,"1,1,",3
640997,"1,1,",3
554250,"1,1,",3
1317764,"1,1,",3
263867,"1,1,",3
365350,"1,1,",3
342549,"1,1,",3
1019477,"1,1,",3
283059,"1,1,",3
620189,"1,1,",3
1147032,"1,1,",3
1077275,"1,1,",3
456414,"1,1,",3
1143474,"1,1,",3
651399,"1,1,",3
1156518,"1,1,",3
987789,"1,1,",3
1064038,"1,1,",3
158545,"1,1,",3
1297829,"1,1,",3
189423,"1,1,",3
1032337,"1,1,",3
1238363,"1,1,",3
788114,"1,1,",3
537190,"1,1,",3
64148,"1,1,",3
431822,"1,1,",3
250542,"1,1,",3
791677,"1,1,",3
358977,"1,1,",3
888773,"1,1,",3
914690,"1,1,",3
663953,"1,1,",3
699045,"1,1,",3
266836,"1,1,",3
1265967,"1,1,",3
262832,"1,1,",3
994482,"1,1,",3
712289,"1,1,",3
133358,"1,1,",3
1317952,"1,1,",3
703015,"1,1,",3
322140,"1,1,",3
68233,"1,1,",3
951756,"1,1,",3
1068939,"1,1,",3
132274,"1,1,",3
890997,"1,1,",3
1287665,"1,1,",3
501003,"1,1,",3
497350,"1,1,",3
1167636,"1,1,",3
978477,"1,1,",3
477080,"1,1,",3
1203854,"1,1,",3
1251127,"1,1,",3
1059112,"1,1,",3
434671,"1,1,",3
629239,"1,1,",3
1206045,"1,1,",3
561180,"1,1,",3
713,"1,1,",3
1064,"1,1,",3
1484,"1,1,",3
1591,"1,1,",3
1739,"1,1,",3
1866,"1,1,",3
2187,"1,1,",3
2518,"1,1,",3
2959,"1,1,",3
3374,"1,1,",3
4081,"1,1,",3
4129,"1,1,",3
4251,"1,1,",3
4637,"1,1,",3
4822,"1,1,",3
4981,"1,1,",3
5417,"1,1,",3
5812,"1,1,",3
6493,"1,1,",3
6800,"1,1,",3
6889,"1,1,",3
7206,"1,1,",3
7210,"1,1,",3
7358,"1,1,",3
8258,"1,1,",3
8720,"1,1,",3
8760,"1,1,",3
