node_id,community,RNL
1294703,1:1:1:,3
635929,1:1:1:,3
179304,1:1:1:,3
61802,1:1:1:,3
1136531,1:1:1:,3
156925,1:1:1:,3
576495,1:1:1:,3
423731,1:1:1:,3
1200709,1:1:1:,3
792398,1:1:1:,3
646565,1:1:1:,3
1101013,1:1:1:,3
1284804,1:1:1:,3
1017206,1:1:1:,3
579661,1:1:1:,3
670875,1:1:1:,3
482419,1:1:1:,3
1210458,1:1:1:,3
605127,1:1:1:,3
1271787,1:1:1:,3
514668,1:1:1:,3
42887,1:1:1:,3
356719,1:1:1:,3
581375,1:1:1:,3
919331,1:1:1:,3
446484,1:1:1:,3
394054,1:1:1:,3
446645,1:1:1:,3
480920,1:1:1:,3
467798,1:1:1:,3
889330,1:1:1:,3
433815,1:1:1:,3
171647,1:1:1:,3
635863,1:1:1:,3
1063089,1:1:1:,3
635888,1:1:1:,3
874578,1:1:1:,3
138153,1:1:1:,3
796280,1:1:1:,3
189759,1:1:1:,3
684805,1:1:1:,3
118407,1:1:1:,3
702369,1:1:1:,3
260410,1:1:1:,3
456995,1:1:1:,3
1019169,1:1:1:,3
294412,1:1:1:,3
129293,1:1:1:,3
1125121,1:1:1:,3
133503,1:1:1:,3
635876,1:1:1:,3
523530,1:1:1:,3
227697,1:1:1:,3
443784,1:1:1:,3
281128,1:1:1:,3
289395,1:1:1:,3
1294730,1:1:1:,3
132597,1:1:1:,3
1153505,1:1:1:,3
519534,1:1:1:,3
1267852,1:1:1:,3
1237725,1:1:1:,3
1268333,1:1:1:,3
22585,1:1:1:,3
1223117,1:1:1:,3
1017205,1:1:1:,3
963893,1:1:1:,3
150746,1:1:1:,3
498319,1:1:1:,3
403259,1:1:1:,3
187945,1:1:1:,3
796358,1:1:1:,3
1198318,1:1:1:,3
46448,1:1:1:,3
198840,1:1:1:,3
215955,1:1:1:,3
1216428,1:1:1:,3
635930,1:1:1:,3
53786,1:1:1:,3
446566,1:1:1:,3
123006,1:1:1:,3
94625,1:1:1:,3
159044,1:1:1:,3
1321992,1:1:1:,3
122150,1:1:1:,3
59643,1:1:1:,3
376189,1:1:1:,3
4805,1:1:1:,3
1281734,1:1:1:,3
631647,1:1:1:,3
129561,1:1:1:,3
1216224,1:1:1:,3
954837,1:1:1:,3
814818,1:1:1:,3
418224,1:1:1:,3
96798,1:1:1:,3
83403,1:1:1:,3
517449,1:1:1:,3
1281417,1:1:1:,3
704291,1:1:1:,3
1078741,1:1:1:,3
595942,1:1:1:,3
635893,1:1:1:,3
783895,1:1:1:,3
1273405,1:1:1:,3
400943,1:1:1:,3
431969,1:1:1:,3
136018,1:1:1:,3
1223877,1:1:1:,3
249810,1:1:1:,3
1259619,1:1:1:,3
2460,1:1:1:,3
319863,1:1:1:,3
156262,1:1:1:,3
59389,1:1:1:,3
869909,1:1:1:,3
587659,1:1:1:,3
574179,1:1:1:,3
1014920,1:1:1:,3
487138,1:1:1:,3
522154,1:1:1:,3
906199,1:1:1:,3
203643,1:1:1:,3
481085,1:1:1:,3
909434,1:1:1:,3
723697,1:1:1:,3
510549,1:1:1:,3
740066,1:1:1:,3
1181311,1:1:1:,3
1272182,1:1:1:,3
1106693,1:1:1:,3
1205385,1:1:1:,3
1110897,1:1:1:,3
874443,1:1:1:,3
1294731,1:1:1:,3
555105,1:1:1:,3
392608,1:1:1:,3
1182010,1:1:1:,3
443585,1:1:1:,3
724143,1:1:1:,3
20229,1:1:1:,3
197236,1:1:1:,3
290923,1:1:1:,3
552316,1:1:1:,3
809475,1:1:1:,3
544818,1:1:1:,3
483456,1:1:1:,3
936770,1:1:1:,3
225317,1:1:1:,3
577883,1:1:1:,3
304310,1:1:1:,3
234245,1:1:1:,3
1303456,1:1:1:,3
83122,1:1:1:,3
1190615,1:1:1:,3
605579,1:1:1:,3
179335,1:1:1:,3
409394,1:1:1:,3
384398,1:1:1:,3
1300108,1:1:1:,3
249667,1:1:1:,3
222048,1:1:1:,3
930133,1:1:1:,3
645916,1:1:1:,3
831790,1:1:1:,3
573094,1:1:1:,3
951943,1:1:1:,3
215923,1:1:1:,3
147954,1:1:1:,3
508276,1:1:1:,3
1291846,1:1:1:,3
733185,1:1:1:,3
75752,1:1:1:,3
641289,1:1:1:,3
140364,1:1:1:,3
791888,1:1:1:,3
783568,1:1:1:,3
818700,1:1:1:,3
156980,1:1:1:,3
356372,1:1:1:,3
878815,1:1:1:,3
609880,1:1:1:,3
635870,1:1:1:,3
874944,1:1:1:,3
484806,1:1:1:,3
846455,1:1:1:,3
552307,1:1:1:,3
211699,1:1:1:,3
273207,1:1:1:,3
343794,1:1:1:,3
600983,1:1:1:,3
827551,1:1:1:,3
563177,1:1:1:,3
250660,1:1:1:,3
1259036,1:1:1:,3
277173,1:1:1:,3
520020,1:1:1:,3
134237,1:1:1:,3
1053914,1:1:1:,3
14769,1:1:1:,3
1064400,1:1:1:,3
481013,1:1:1:,3
127720,1:1:1:,3
285705,1:1:1:,3
390661,1:1:1:,3
388641,1:1:1:,3
86117,1:1:1:,3
1057654,1:1:1:,3
1038090,1:1:1:,3
41566,1:1:1:,3
129958,1:1:1:,3
651780,1:1:1:,3
5055,1:1:1:,3
253437,1:1:1:,3
648384,1:1:1:,3
605395,1:1:1:,3
919051,1:1:1:,3
4692,1:1:1:,3
105348,1:1:1:,3
609799,1:1:1:,3
539208,1:1:1:,3
1058063,1:1:1:,3
430989,1:1:1:,3
414677,1:1:1:,3
116639,1:1:1:,3
50487,1:1:1:,3
885168,1:1:1:,3
1175574,1:1:1:,3
862074,1:1:1:,3
67007,1:1:1:,3
157809,1:1:1:,3
